NER_Label,Entity,Counts
B-ORG,'perkasa',1
B-ORG,(19/5/2015).pt,1
B-ORG,(plta),1
B-ORG,"0,05%",2
B-ORG,"0,11",1
B-ORG,06,1
B-ORG,07,1
B-ORG,07/06,1
B-ORG,08,1
B-ORG,0813xxx998,1
B-ORG,0823xxx871,1
B-ORG,100,2
B-ORG,100%,1
B-ORG,100% sepenuhnya,1
B-ORG,1006.,1
B-ORG,1007.,1
B-ORG,"104,9",1
B-ORG,125,2
B-ORG,13,1
B-ORG,"134,5 miliar.",1
B-ORG,145,1
B-ORG,150,1
B-ORG,184.000,2
B-ORG,"19,",1
B-ORG,1962,1
B-ORG,"1968.""bagi barata indonesia,",1
B-ORG,2020,2
B-ORG,"2020.""nilainya",1
B-ORG,2021,3
B-ORG,"2021""di",1
B-ORG,"2021,",1
B-ORG,"2021.""ini",2
B-ORG,2021penandatanganan,1
B-ORG,2021yir2021,1
B-ORG,2022,2
B-ORG,"2023""[gambas:video",1
B-ORG,2024,3
B-ORG,"2024,""",2
B-ORG,2024dengan,1
B-ORG,2025,3
B-ORG,"2025,",3
B-ORG,"2026.""melalui",2
B-ORG,2026.sofyan,1
B-ORG,2030,1
B-ORG,"2030,",2
B-ORG,2030sunseap,1
B-ORG,2040,1
B-ORG,2040.,1
B-ORG,2040ia,1
B-ORG,"2045,",1
B-ORG,2045.,1
B-ORG,"2050.""jadi indonesia",1
B-ORG,2060,2
B-ORG,"2060,""",6
B-ORG,2060.,2
B-ORG,"2060.""selain",1
B-ORG,2060.advertisementscroll,2
B-ORG,2060.baca,1
B-ORG,"2060menurutnya,",2
B-ORG,207,5
B-ORG,20detik]pemulihan,1
B-ORG,210,2
B-ORG,23%,1
B-ORG,24,1
B-ORG,250,1
B-ORG,"256 juta,",2
B-ORG,257,1
B-ORG,260,2
B-ORG,3,2
B-ORG,300,1
B-ORG,300-400,1
B-ORG,314,1
B-ORG,"322.660.800,""",2
B-ORG,"4 petrokimia,""",1
B-ORG,400,2
B-ORG,400 kilowatt-peak,1
B-ORG,404),1
B-ORG,44.303.850.0002.,1
B-ORG,445 ribu,1
B-ORG,450,2
B-ORG,47,3
B-ORG,5,1
B-ORG,500.000,1
B-ORG,5000,1
B-ORG,55,1
B-ORG,"78-87 triliun,",1
B-ORG,84 persen perizinan,1
B-ORG,881,1
B-ORG,900.000,1
B-ORG,aaa,2
B-ORG,aan,1
B-ORG,"abadi.""sudah",1
B-ORG,abar-anggursi,1
B-ORG,"abc,",1
B-ORG,abdul,2
