NER_Label,Entity,Counts
B-ORG,$,11
B-ORG,$ 3,3
B-ORG,%,3
B-ORG,0,2
B-ORG,0 %,1
B-ORG,00 %,3
B-ORG,00 % bara,1
B-ORG,000,2
B-ORG,000 triliun,1
B-ORG,01,5
B-ORG,02,3
B-ORG,02 % bayan resourcesby,1
B-ORG,03 %,1
B-ORG,03 juta,1
B-ORG,04,2
B-ORG,04 miliar,1
B-ORG,05,1
B-ORG,05 %,2
B-ORG,06,2
B-ORG,06 %,1
B-ORG,07,3
B-ORG,074,1
B-ORG,08,1
B-ORG,08 %,2
B-ORG,09,9
B-ORG,09 %,2
B-ORG,100,2
B-ORG,102,1
B-ORG,142,1
B-ORG,158,1
B-ORG,1750,1
B-ORG,19,1
B-ORG,20,1
B-ORG,2007,1
B-ORG,2017,1
B-ORG,2019,1
B-ORG,2020,3
B-ORG,2021,9
B-ORG,2022,10
B-ORG,2023,13
B-ORG,2024,1
B-ORG,2025,3
B-ORG,2026,1
B-ORG,2027,1
B-ORG,203,3
B-ORG,2030,11
B-ORG,2030 toba,1
B-ORG,2035,2
B-ORG,204,4
B-ORG,2040,6
B-ORG,205,3
B-ORG,2050,2
B-ORG,2060,6
B-ORG,2060sel,2
B-ORG,21,1
B-ORG,216,1
B-ORG,216 juta,2
B-ORG,232,3
B-ORG,31,3
B-ORG,315,1
B-ORG,350,1
B-ORG,37,1
B-ORG,386,1
B-ORG,450,1
B-ORG,5,2
B-ORG,500,3
B-ORG,5003,1
B-ORG,53 %,2
B-ORG,5302,1
B-ORG,55 % baramulti,1
B-ORG,599,2
B-ORG,6001,1
B-ORG,64 %,1
B-ORG,6400,1
B-ORG,66 %,1
B-ORG,6652,1
B-ORG,7,1
B-ORG,70 %,2
B-ORG,707 miliar,1
B-ORG,72,2
B-ORG,73,2
B-ORG,730,1
B-ORG,7401,1
B-ORG,76,2
B-ORG,8,1
B-ORG,802 miliar,1
B-ORG,81 %,1
B-ORG,83 %,1
B-ORG,87 %,1
B-ORG,88 %,1
B-ORG,89,1
B-ORG,9150,1
B-ORG,930,1
B-ORG,950,1
B-ORG,96,1
B-ORG,96 %,1
B-ORG,97 %,1
B-ORG,97x,1
B-ORG,99 %,1
B-ORG,@ cuap _,1
B-ORG,[pad] [pad],7
B-ORG,[unk],1
B-ORG,a1,1
B-ORG,aa,7
B-ORG,aal,1
B-ORG,aalborg csp,1
B-ORG,aasland,1
B-ORG,ab,2
B-ORG,abadi,1
B-ORG,abang,1
B-ORG,abc,5
B-ORG,abm,1
B-ORG,abmm,1
B-ORG,abu dhabi,8
B-ORG,acc,15
B-ORG,acciona energia,2
B-ORG,aceh,2
B-ORG,acid,1
B-ORG,act,1
B-ORG,ad,3
B-ORG,ada,14
B-ORG,adam isa,1
B-ORG,adani,1
B-ORG,adani group,1
B-ORG,adaro,12
B-ORG,adaro energy,1
B-ORG,adaro energy indonesia,19
B-ORG,adaro energy indonesia tbk,6
B-ORG,adaro power,17
B-ORG,adb,2
B-ORG,adi,1
B-ORG,adip,1
B-ORG,adiperd,2
B-ORG,adiperdana,1
B-ORG,adiperdanam,1
B-ORG,adj,1
B-ORG,adkerson,3
B-ORG,admr,1
B-ORG,adro,56
B-ORG,adro ),1
B-ORG,adv,2
B-ORG,adver,12
B-ORG,advertis,13
B-ORG,advertisement,6
B-ORG,advertisement scr,2
B-ORG,advertisement scroll,1
B-ORG,advertisement scroll to,1
B-ORG,advertisement scroll to resume content,1
B-ORG,af,5
B-ORG,afd,8
B-ORG,afd -,2
B-ORG,aff,3
B-ORG,afghanistan,3
B-ORG,afp,6
B-ORG,after,1
B-ORG,ag,8
B-ORG,agence francaise de developpement,2
B-ORG,agensi,1
B-ORG,agra surya investindo,1
B-ORG,agreement,4
B-ORG,ags,5
B-ORG,agung,6
B-ORG,agus,2
B-ORG,agustus,5
B-ORG,agustus 2022,1
B-ORG,ah,2
B-ORG,ahaman,1
B-ORG,ahm,1
