NER_Label,Entity,Counts
B-ORG,$,11
B-ORG,$ 800,4
B-ORG,%,5
B-ORG,01,6
B-ORG,02,9
B-ORG,03,16
B-ORG,04,13
B-ORG,05,8
B-ORG,06,2
B-ORG,07,7
B-ORG,070,1
B-ORG,074,1
B-ORG,08,3
B-ORG,09,9
B-ORG,100,5
B-ORG,107,1
B-ORG,109,3
B-ORG,130,4
B-ORG,158,1
B-ORG,16,1
B-ORG,1916,1
B-ORG,1942,1
B-ORG,1965,2
B-ORG,1991,2
B-ORG,20,3
B-ORG,2002,2
B-ORG,2007,2
B-ORG,2015,1
B-ORG,2017,2
B-ORG,202,1
B-ORG,2020,13
B-ORG,2021,16
B-ORG,2021 ),2
B-ORG,2022,9
B-ORG,2023,22
B-ORG,2025,2
B-ORG,2027,1
B-ORG,203,1
B-ORG,2030,9
B-ORG,2030 toba,3
B-ORG,204,9
B-ORG,204 miliar,2
B-ORG,2040,8
B-ORG,2050,2
B-ORG,2060,8
B-ORG,216 juta,1
B-ORG,24,2
B-ORG,24 triliun,1
B-ORG,31,1
B-ORG,328,2
B-ORG,36 -,2
B-ORG,400,1
B-ORG,41,1
B-ORG,4pel,6
B-ORG,5 ptn,2
B-ORG,500,1
B-ORG,57,1
B-ORG,599,2
B-ORG,62,1
B-ORG,650,1
B-ORG,7,5
B-ORG,70 %,2
B-ORG,700,1
B-ORG,707 miliar,1
B-ORG,72,1
B-ORG,76,2
B-ORG,8,1
B-ORG,90 %,5
B-ORG,[pad],24
B-ORG,[pad] [pad],1
B-ORG,[pad] [pad] [pad],2
B-ORG,[pad] [pad] [pad] [pad],1
B-ORG,[pad] [pad] [pad] [pad] [pad] [pad] [pad],1
B-ORG,[pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad],2
B-ORG,[pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad],2
B-ORG,[pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad],1
B-ORG,[pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad],1
B-ORG,[unk],1
B-ORG,a1,1
B-ORG,aa,2
B-ORG,aapl,2
B-ORG,aapowerlink,1
B-ORG,abe,2
B-ORG,abu,30
B-ORG,abu dhabi,25
B-ORG,abu dhabi national oil company,2
B-ORG,acc,2
B-ORG,aceh,9
B-ORG,acei,4
B-ORG,acwa power,4
