NER_Label,Entity,Counts
B-ORG,000,7
B-ORG,001ih,1
B-ORG,01,1
B-ORG,075 miliar,1
B-ORG,100,7
B-ORG,1985,1
B-ORG,2010,1
B-ORG,2013,1
B-ORG,2017,2
B-ORG,2022,6
B-ORG,2023,1
B-ORG,2025,10
B-ORG,2030,3
B-ORG,204,1
B-ORG,2060,3
B-ORG,265,6
B-ORG,390,1
B-ORG,61,1
B-ORG,900,7
B-ORG,abc,1
B-ORG,abeka,1
B-ORG,abu dhabi national oil company,3
B-ORG,acc,2
B-ORG,aceh,1
B-ORG,ad,1
B-ORG,ada,2
B-ORG,adaro,6
B-ORG,adaro energy,1
B-ORG,additional,1
B-ORG,adelaide,4
B-ORG,adnoc,3
B-ORG,adro,2
B-ORG,advertis,1
B-ORG,advertisementsc,17
B-ORG,advertisementscrol,9
B-ORG,advertisementscroll,11
B-ORG,advertisementscroll to,9
B-ORG,advertisementscroll to resume content,1
B-ORG,advertisementscroll to resume content1 .,1
B-ORG,advertisementscroll to resume contentarifin,1
B-ORG,advertisementscroll to resume contentmaklum,5
B-ORG,advertisementscroll to resume contentnegara,1
B-ORG,advertisementscroll to resume contentpe,5
B-ORG,ae,1
B-ORG,aer,2
B-ORG,afghanistansen,2
B-ORG,african,1
B-ORG,agro,1
B-ORG,agustus,5
B-ORG,ai,3
B-ORG,airlangga,3
B-ORG,akomodir,8
B-ORG,ali,5
B-ORG,almamater,1
B-ORG,amerika,1
B-ORG,ammonia,1
B-ORG,amsterdam,1
B-ORG,anders,1
B-ORG,andy noorsaman,8
B-ORG,aneka,3
B-ORG,angin,3
B-ORG,antam,1
B-ORG,apbd,8
B-ORG,april 2022,1
B-ORG,arab,1
B-ORG,arifin,1
B-ORG,arno,5
B-ORG,artha sekuritaskemarin,1
B-ORG,aru,1
B-ORG,arun,2
B-ORG,asean,4
B-ORG,aseansel,1
B-ORG,asia,36
B-ORG,asia iii,15
B-ORG,asif,1
B-ORG,asin,3
B-ORG,asn,1
B-ORG,asosiasi,4
B-ORG,asri,1
B-ORG,assemb,3
B-ORG,astra,1
B-ORG,australian energy regulator,1
B-ORG,auto,2
B-ORG,aw,3
B-ORG,b20,1
B-ORG,bab,1
B-ORG,babcock & wilcox volund,3
B-ORG,badan,2
B-ORG,badan geologi,2
B-ORG,badan lit,1
B-ORG,badan pengelola dana perkebunan,1
B-ORG,badan pengembangan sumber daya manusia,1
B-ORG,badan usaha milik daerah,1
B-ORG,bahan,1
B-ORG,bakor,1
B-ORG,bakrie,1
B-ORG,bali energy,1
B-ORG,baling,16
B-ORG,bam,5
B-ORG,bamso,4
B-ORG,ban,1
B-ORG,banda,2
B-ORG,bandar,1
B-ORG,bangka,1
B-ORG,bank,1
B-ORG,bantul,1
B-ORG,bappeda,1
B-ORG,batching plant,4
B-ORG,bau,13
B-ORG,bauran,5
B-ORG,bayu,61
B-ORG,bb,2
B-ORG,bbg,1
B-ORG,bbm,3
B-ORG,bei,1
B-ORG,belanda,7
B-ORG,belitung,1
B-ORG,bengkak,1
B-ORG,bess,3
B-ORG,bina,4
B-ORG,binatek,8
B-ORG,binatek energi terbarukan,10
B-ORG,bintang,4
B-ORG,bio,2
B-ORG,bioetanol,1
B-ORG,biro,19
B-ORG,bl,7
B-ORG,blue,2
B-ORG,bni,7
B-ORG,bni syariah,2
B-ORG,bob saril,1
B-ORG,bond,1
B-ORG,bpd,5
B-ORG,bpdp,1
B-ORG,bph migas,1
B-ORG,bpma,1
B-ORG,bpp,2
B-ORG,brebes,1
B-ORG,bri,1
B-ORG,brian,15
B-ORG,btn,1
B-ORG,budi,3
B-ORG,bukit,22
B-ORG,bum,1
B-ORG,bumd,1
B-ORG,bumn,19
B-ORG,bumn listrik,1
B-ORG,bunch,1
B-ORG,burmeister,1
B-ORG,burmeister & wain scandinavian contractor,3
B-ORG,bursa,1
B-ORG,bursa amerika serikat,1
B-ORG,bwsc,4
B-ORG,c,2
B-ORG,caf,7
B-ORG,caffyn,8
B-ORG,capex,1
B-ORG,casa,2
B-ORG,cc,1
B-ORG,ccs,1
B-ORG,ceo,22
B-ORG,ceo lek,2
B-ORG,cep,2
B-ORG,chairman,3
B-ORG,chief,2
B-ORG,chief executive officer ( ceo ) pertamina,4
B-ORG,chief representative sumitomo corporation indonesia,1
B-ORG,china,2
B-ORG,cilacap,3
B-ORG,cirebon,1
B-ORG,cluster,1
B-ORG,cnbc indonesia,1
B-ORG,cnn,1
B-ORG,co,1
B-ORG,coca cola,1
B-ORG,cod,3
B-ORG,cofir,1
B-ORG,com,1
B-ORG,community involvement development,1
B-ORG,compet,1
B-ORG,conference,1
B-ORG,consumptiondengan,1
B-ORG,content,7
B-ORG,contentsetelah,5
B-ORG,contra,1
B-ORG,corona,2
B-ORG,corp,1
B-ORG,council,3
B-ORG,cum,1
B-ORG,cusd,2
B-ORG,cy,1
B-ORG,dadi,2
B-ORG,darma,6
B-ORG,darmawan,2
B-ORG,de,4
B-ORG,ded,1
B-ORG,delta,1
B-ORG,demak,1
B-ORG,democrac,3
B-ORG,demokrasi,1
B-ORG,denmark,6
B-ORG,depok,1
B-ORG,deputi,2
B-ORG,desa energi berdikari cilacap,1
B-ORG,detikcom,7
B-ORG,detikfin,15
B-ORG,detikfinanceberkesempatan,7
B-ORG,detikjabar,1
B-ORG,development,3
B-ORG,dewan,6
B-ORG,dewan energi nasional,1
B-ORG,dinas esdm,1
B-ORG,dipas,1
B-ORG,direksi,1
B-ORG,direksi pertamina,1
B-ORG,direktorat,8
B-ORG,direktorat jenderal mineral,1
B-ORG,direktur bisnis regional pt pln,1
B-ORG,direktur eksekutif energy watch,1
B-ORG,direktur jenderal energi baru terbarukan,4
B-ORG,direktur jenderal energi baru terbarukan dan konservasi,3
B-ORG,direktur jenderal energi baru terbarukan dan konservasi energi,1
B-ORG,direktur jenderal listrik dan pemanfaatan energi,1
B-ORG,direktur komersial sucofindo,1
B-ORG,direktur mega proyek dan energi baru terbarukan pln,1
B-ORG,direktur niaga,1
B-ORG,direktur operasi pln indonesia timur,1
B-ORG,direktur pengadaan strategis 1 pln,7
B-ORG,direktur pengadaan strategis dan energi primer pln,1
B-ORG,direktur perencanaan korporat dan pengembangan bisnis pln,1
B-ORG,direktur perencanaan korporat pln,2
B-ORG,direktur pt energy biomassa indonesia,1
B-ORG,direktur transmisi dan perencanaan sistem pln,1
B-ORG,direktur utama,2
B-ORG,direktur utama (,1
B-ORG,direktur utama baru pt pln ( persero ),1
B-ORG,direktur utama bukit asam,1
B-ORG,direktur utama inalum,1
B-ORG,direktur utama kencana energi,2
B-ORG,direktur utama pertamina,1
B-ORG,direktur utama perusahaan listrik negara,5
B-ORG,direktur utama perusahaan listrik negara ( pln,5
B-ORG,direktur utama pjb,1
B-ORG,direktur utama pln,10
B-ORG,direktur utama pt bank negara indonesia tbk,5
B-ORG,direktur utama pt pln ( persero ),6
B-ORG,direktur utama ptpp,1
B-ORG,dirjen energi baru terbarukan,4
B-ORG,dirjen ketenagalistrikan,1
B-ORG,dirut,3
B-ORG,dirut ) pt pln ( persero ),1
B-ORG,dirut pln,2
B-ORG,dis,3
B-ORG,divisi,2
B-ORG,djuga,1
B-ORG,djumiril,1
B-ORG,dkp,2
B-ORG,dm,3
B-ORG,do,1
B-ORG,dong,1
B-ORG,dong energy,3
B-ORG,dow jones,2
B-ORG,dp world,3
B-ORG,dpr,5
B-ORG,dpr ri,5
B-ORG,duan,1
B-ORG,duta,2
B-ORG,earth,3
B-ORG,eas,1
B-ORG,eb,24
B-ORG,ebi,1
B-ORG,ebsi,1
B-ORG,ebt,3
B-ORG,ebtke,16
B-ORG,ed,3
B-ORG,ediwan,4
B-ORG,efflu,1
B-ORG,eg,3
B-ORG,ega,2
B-ORG,egeres,1
B-ORG,egeres enerji,1
B-ORG,ei,1
B-ORG,eko,2
B-ORG,electric,2
B-ORG,emi,1
B-ORG,emirat,4
B-ORG,empty,1
B-ORG,energy,8
B-ORG,enerji,1
B-ORG,eng,1
B-ORG,engineering procurement and construction,1
B-ORG,epc,5
B-ORG,equ,1
B-ORG,equis,6
B-ORG,er,5
B-ORG,erd,1
B-ORG,eren,7
B-ORG,eric,8
B-ORG,erick,1
B-ORG,ernst,3
B-ORG,eropa,5
B-ORG,erwin,8
B-ORG,es,3
B-ORG,esdm,43
B-ORG,esg,1
B-ORG,etwg,1
B-ORG,european,1
B-ORG,executive director upc rene,5
B-ORG,exp,1
B-ORG,external communications team manager star energy geothermal,1
B-ORG,fac,1
B-ORG,facebook,1
B-ORG,fajar,2
B-ORG,fari,4
B-ORG,fasken,1
B-ORG,feb,1
B-ORG,fgd,1
B-ORG,fi,1
B-ORG,fitri 1440,6
B-ORG,fl,1
B-ORG,focus group discussion,1
B-ORG,ford,1
B-ORG,forum,12
