NER_Label,Entity,Counts
B-ORG,*,1
B-ORG,0,1
B-ORG,00,1
B-ORG,09,1
B-ORG,14,1
B-ORG,150,1
B-ORG,200,1
B-ORG,2012,1
B-ORG,2017,1
B-ORG,2020,1
B-ORG,23,1
B-ORG,24,1
B-ORG,26,1
B-ORG,50,1
B-ORG,adaro,1
B-ORG,adaro power & pjbi,1
B-ORG,aden,1
B-ORG,adi,2
B-ORG,adventure 2019 with,1
B-ORG,aerox,2
B-ORG,agustus,1
B-ORG,ahok,2
B-ORG,ai,1
B-ORG,ajax,2
B-ORG,aji,2
B-ORG,alar,1
B-ORG,alfamart,1
B-ORG,alham,1
B-ORG,ali,1
B-ORG,am,2
B-ORG,aman,3
B-ORG,ambi,2
B-ORG,amd,1
B-ORG,amin,1
B-ORG,amir,2
B-ORG,ampuh,2
B-ORG,ang,1
B-ORG,anjingx,1
B-ORG,antaeng,1
B-ORG,aoe,1
B-ORG,apac,1
B-ORG,aparat,1
B-ORG,apdesi,1
B-ORG,apdesi sidrap,1
B-ORG,apkasi,1
B-ORG,arch,1
B-ORG,arisan,1
B-ORG,as,2
B-ORG,as kambiel,1
B-ORG,asean,1
B-ORG,asia,2
B-ORG,asosiasi,1
B-ORG,aula,1
B-ORG,azikin,2
B-ORG,azikindidampingi,1
B-ORG,baby,1
B-ORG,badan,1
B-ORG,bagus,2
B-ORG,bahan,1
B-ORG,balai,1
B-ORG,baling,8
B-ORG,baling - baling,1
B-ORG,balingpl,1
B-ORG,bantaeng,5
B-ORG,bantaengkincir anginilham,1
B-ORG,bantaengpltbpt,1
B-ORG,bap,1
B-ORG,barcelona,1
B-ORG,basic,4
B-ORG,basic ) perseroda,1
B-ORG,basket,1
B-ORG,bassitoayya,2
B-ORG,bat,1
B-ORG,batang,2
B-ORG,bawaslu 24 kabupaten,1
B-ORG,bawono,1
B-ORG,bayern,2
B-ORG,bayu,12
B-ORG,bayu energi,5
B-ORG,bayu jeneponto,1
B-ORG,bayumus,1
B-ORG,bb,1
B-ORG,beb,1
B-ORG,bebi,1
B-ORG,beda,1
B-ORG,bedak,2
B-ORG,belleza,1
B-ORG,berada,1
B-ORG,bertahap,1
B-ORG,bertikai,1
B-ORG,bi,3
B-ORG,bikers,2
B-ORG,bina,5
B-ORG,binamu,1
B-ORG,bintang,1
B-ORG,biro,1
B-ORG,blade,1
B-ORG,bob,1
B-ORG,bodong,1
B-ORG,bonai,1
B-ORG,bp,3
B-ORG,bpom,6
B-ORG,bpombo,1
B-ORG,bpombody,1
B-ORG,bpomtips,1
B-ORG,brand,1
B-ORG,bsama,1
B-ORG,bsid,1
B-ORG,bsidrap,1
B-ORG,bsudah,1
B-ORG,bukit,1
B-ORG,bulan,1
B-ORG,bulu,2
B-ORG,bupati,4
B-ORG,bupati soppeng,1
B-ORG,bupatibantaengilham,1
B-ORG,bupatisidrap,1
B-ORG,butta,1
B-ORG,butta toa,1
B-ORG,california,1
B-ORG,care5,2
B-ORG,cat,1
B-ORG,champions,2
B-ORG,chinaotoritas perhubungan,1
B-ORG,citizen reportkisah,1
B-ORG,citizenreporter,1
B-ORG,clas,1
B-ORG,commanageme,1
B-ORG,community,2
B-ORG,compltb,1
B-ORG,compress officer pt upc sidrap bayu energi,2
B-ORG,comsuper intendent baching plant,1
B-ORG,conta,1
B-ORG,corona,1
B-ORG,cristian,1
B-ORG,cs,1
B-ORG,da,1
B-ORG,dahi,3
B-ORG,dand,1
B-ORG,dapur5,1
B-ORG,darmawan,4
B-ORG,dd,1
B-ORG,deal,1
B-ORG,deputi,1
B-ORG,deputi general manager of envision energy south east asia regional company,1
B-ORG,desa mattirotasi,1
B-ORG,detik,2
B-ORG,dewi,3
B-ORG,dharma,1
B-ORG,dinas perhubungan,2
B-ORG,direktur adaro,1
B-ORG,direktur utama,2
B-ORG,direktur utama adaro power dharma djojonegoro,1
B-ORG,direktur utama pln,1
B-ORG,direktur utamaplndarmawan,1
B-ORG,dj,2
B-ORG,djojonegoro,1
B-ORG,doyok,2
B-ORG,dp,1
