NER_Label,Entity,Counts
B-ORG,#,1
B-ORG,0,1
B-ORG,00,1
B-ORG,01,1
B-ORG,04,1
B-ORG,05 persen,1
B-ORG,06,6
B-ORG,07,4
B-ORG,0877,1
B-ORG,087779694455,1
B-ORG,09,1
B-ORG,100,2
B-ORG,200mwp,1
B-ORG,2021,4
B-ORG,39,2
B-ORG,49,1
B-ORG,530,1
B-ORG,55,1
B-ORG,800,4
B-ORG,916,1
B-ORG,918,1
B-ORG,@,3
B-ORG,abd,1
B-ORG,abdul,1
B-ORG,abdussalam,1
B-ORG,abdussalamtribunjabar,2
B-ORG,acwa power,2
B-ORG,adityas annas azharijabarprov . co . idpt len industri ( persero ),1
B-ORG,afi,2
B-ORG,afif,1
B-ORG,afrika,1
B-ORG,afrikaplts kinshasa,1
B-ORG,afrikapt,1
B-ORG,agreement,2
B-ORG,agro,1
B-ORG,agung,1
B-ORG,agustus,1
B-ORG,ah,1
B-ORG,akb,2
B-ORG,alh,1
B-ORG,ami,5
B-ORG,andor,2
B-ORG,andr,1
B-ORG,andy,4
B-ORG,aneka,1
B-ORG,angkasa,2
B-ORG,angkasa pura iikamis,1
B-ORG,antisipasi kriminalitas,1
B-ORG,ap2,1
B-ORG,april,1
B-ORG,arc,3
B-ORG,arctic,1
B-ORG,ard,1
B-ORG,area,4
B-ORG,as,1
B-ORG,asean,1
B-ORG,asia,5
B-ORG,asosiasi,1
B-ORG,ass,2
B-ORG,astra,1
B-ORG,atapada,1
B-ORG,atapkamis,1
B-ORG,ayu,1
B-ORG,azzura,1
B-ORG,baby,2
B-ORG,badak,1
B-ORG,badan,5
B-ORG,badan usaha,4
B-ORG,bahru,1
B-ORG,balipt pln,1
B-ORG,bambang,1
B-ORG,bandung,3
B-ORG,banjarnah,1
B-ORG,bank,11
B-ORG,bank bjb syariah,1
B-ORG,banking service excellent 2023xtribunjabar . id,1
B-ORG,basar,1
B-ORG,basarnas,4
B-ORG,basel,2
B-ORG,basuki,2
B-ORG,bat,1
B-ORG,batampln batam,1
B-ORG,bau,2
B-ORG,bauran,2
B-ORG,bauran ebtpln,1
B-ORG,bauran energi,7
B-ORG,bbws ),1
B-ORG,beda,1
B-ORG,ben,1
B-ORG,bendung,1
B-ORG,bendungan,1
B-ORG,berjaya,1
B-ORG,bhasw,1
B-ORG,bi,5
B-ORG,billy,1
B-ORG,blue,1
B-ORG,bn,1
B-ORG,bnpb,1
B-ORG,boj,1
B-ORG,bontomana,1
B-ORG,bpk,2
B-ORG,break,1
B-ORG,brigjen,1
B-ORG,bs,1
B-ORG,budiman,1
B-ORG,bulan,1
B-ORG,bumn,8
B-ORG,bumnpt,1
B-ORG,bupati geulis,1
B-ORG,camat,1
B-ORG,cara,1
B-ORG,ceo,1
B-ORG,ceremony 145,2
B-ORG,change,2
B-ORG,cic,3
B-ORG,cicah,1
B-ORG,ciherang,2
B-ORG,cik,1
B-ORG,cikarang barat,1
B-ORG,cile,5
B-ORG,cina,1
B-ORG,cipeundeu,2
B-ORG,cir,24
B-ORG,cirata,54
B-ORG,cirata floating,2
B-ORG,ciratabreaking news,1
B-ORG,cirataini,4
B-ORG,ciratakecamatan,1
B-ORG,cirataresmi,2
B-ORG,ciratat,1
B-ORG,cirebon,1
B-ORG,cis,3
B-ORG,climate,2
B-ORG,co,2
B-ORG,co - investmentxplts terapung cirata,2
B-ORG,coca,2
B-ORG,coca - cola europacific partners indonesia,1
B-ORG,cod,3
B-ORG,combiner,1
B-ORG,component,1
B-ORG,conference,1
B-ORG,construction,1
B-ORG,convention,2
B-ORG,cosm,1
B-ORG,cosmetic,1
B-ORG,covid,1
B-ORG,damkar,2
B-ORG,danau,1
B-ORG,darma,6
B-ORG,datar,1
B-ORG,dc,3
B-ORG,dcav,1
B-ORG,ded,2
B-ORG,delegasi g20,1
B-ORG,delina,2
B-ORG,deliver,1
B-ORG,demokratikkongo,2
B-ORG,denselasa,1
B-ORG,detik,1
B-ORG,dh,5
B-ORG,dha,2
B-ORG,digital,2
B-ORG,dinas energi,1
