NER_Label,Entity,Counts
B-ORG,#,1
B-ORG,$,16
B-ORG,$20,1
B-ORG,$5,1
B-ORG,$800,4
B-ORG,%,5
B-ORG,0,5
B-ORG,00,3
B-ORG,000,1
B-ORG,00wib,1
B-ORG,01,9
B-ORG,02,9
B-ORG,02%,1
B-ORG,03,20
B-ORG,04,15
B-ORG,05,8
B-ORG,05persen,1
B-ORG,06,9
B-ORG,07,13
B-ORG,070,1
B-ORG,074,1
B-ORG,07persen,1
B-ORG,08,6
B-ORG,0877,1
B-ORG,087779694455,1
B-ORG,09,10
B-ORG,099miliar,1
B-ORG,100,8
B-ORG,100%,1
B-ORG,100%sepenuhnya,1
B-ORG,1006,1
B-ORG,1007,1
B-ORG,100persen,1
B-ORG,104,1
B-ORG,107,1
B-ORG,109,3
B-ORG,125,2
B-ORG,12sel,1
B-ORG,13,1
B-ORG,130,4
B-ORG,134,1
B-ORG,145,1
B-ORG,150,1
B-ORG,158,1
B-ORG,16,1
B-ORG,17,1
B-ORG,184,2
B-ORG,19,1
B-ORG,1916,1
B-ORG,1942,1
B-ORG,1962,1
B-ORG,1965,2
B-ORG,1968,1
B-ORG,1991,2
B-ORG,20,6
B-ORG,200,1
B-ORG,2002,2
B-ORG,2007,2
B-ORG,200mwp,1
B-ORG,2015,2
B-ORG,2016,1
B-ORG,2017,2
B-ORG,202,1
B-ORG,2020,21
B-ORG,2021,33
B-ORG,2021),2
B-ORG,2021penandatang,1
B-ORG,2022,13
B-ORG,2023,28
B-ORG,2024,6
B-ORG,2025,8
B-ORG,2026,3
B-ORG,2027,1
B-ORG,2029,1
B-ORG,203,1
B-ORG,2030,13
B-ORG,2030toba,3
B-ORG,204,13
B-ORG,2040,9
B-ORG,204miliar,2
B-ORG,2050,3
B-ORG,206,5
B-ORG,2060,21
B-ORG,207,5
B-ORG,21,1
B-ORG,210,2
B-ORG,216juta,1
B-ORG,23,1
B-ORG,23%,1
B-ORG,24,4
B-ORG,24triliun,1
B-ORG,250,1
B-ORG,256juta,2
B-ORG,257,1
B-ORG,260,2
B-ORG,27,1
B-ORG,3,2
B-ORG,30,2
B-ORG,300,1
B-ORG,300-,1
B-ORG,303,3
B-ORG,31,1
B-ORG,314juta,1
B-ORG,322,2
B-ORG,328,2
B-ORG,36-,2
B-ORG,39,2
B-ORG,4,1
B-ORG,400,4
B-ORG,400kilowatt,1
B-ORG,404,1
B-ORG,41,1
B-ORG,44,1
B-ORG,445ribu,1
B-ORG,450,2
B-ORG,46,1
B-ORG,47,3
B-ORG,48,1
B-ORG,49,1
B-ORG,4pel,6
B-ORG,4petrokimia,1
B-ORG,5,1
B-ORG,500,3
B-ORG,5000,1
B-ORG,530,1
B-ORG,55,1
B-ORG,55megaw,1
B-ORG,57,1
B-ORG,599,2
B-ORG,5ptn,2
B-ORG,62,1
B-ORG,650,1
B-ORG,680,1
B-ORG,7,5
B-ORG,70%,2
B-ORG,700,1
B-ORG,707miliar,1
B-ORG,72,2
B-ORG,76,2
B-ORG,78-,1
B-ORG,8,1
B-ORG,800,4
B-ORG,81,1
B-ORG,84persenperizinan,1
B-ORG,87triliun,1
B-ORG,881,1
B-ORG,90%,5
B-ORG,900,1
B-ORG,916,1
B-ORG,918,1
B-ORG,99sen,1
B-ORG,@,3
B-ORG,[pad],39
B-ORG,[pad][pad],5
B-ORG,[pad][pad][pad],6
B-ORG,[pad][pad][pad][pad],6
B-ORG,[pad][pad][pad][pad][pad],7
B-ORG,[pad][pad][pad][pad][pad][pad],3
B-ORG,[pad][pad][pad][pad][pad][pad][pad],1
B-ORG,[pad][pad][pad][pad][pad][pad][pad][pad],3
B-ORG,[pad][pad][pad][pad][pad][pad][pad][pad][pad][pad],2
