NER_Label,Entity,Counts
B-ORG,$,11
B-ORG,$3,3
B-ORG,%,3
B-ORG,*,1
B-ORG,0,3
B-ORG,0%,1
B-ORG,00,1
B-ORG,00%,3
B-ORG,00%bara,1
B-ORG,000,9
B-ORG,000triliun,1
B-ORG,001ih,1
B-ORG,01,6
B-ORG,02,3
B-ORG,02%bayanresourcesby,1
B-ORG,03%,1
B-ORG,03juta,1
B-ORG,04,2
B-ORG,04miliar,1
B-ORG,05,1
B-ORG,05%,2
B-ORG,06,2
B-ORG,06%,1
B-ORG,07,3
B-ORG,074,1
B-ORG,075miliar,1
B-ORG,08,1
B-ORG,08%,2
B-ORG,09,10
B-ORG,09%,2
B-ORG,100,9
B-ORG,102,1
B-ORG,14,1
B-ORG,142,1
B-ORG,150,1
B-ORG,158,1
B-ORG,1750,1
B-ORG,19,1
B-ORG,1985,1
B-ORG,20,1
B-ORG,200,1
B-ORG,2007,1
B-ORG,2010,1
B-ORG,2012,1
B-ORG,2013,1
B-ORG,2017,4
B-ORG,2019,1
B-ORG,2020,4
B-ORG,2021,9
B-ORG,2022,16
B-ORG,2023,14
B-ORG,2024,1
B-ORG,2025,13
B-ORG,2026,1
B-ORG,2027,1
B-ORG,203,3
B-ORG,2030,14
B-ORG,2030toba,1
B-ORG,2035,2
B-ORG,204,5
B-ORG,2040,6
B-ORG,205,3
B-ORG,2050,2
B-ORG,2060,9
B-ORG,2060sel,2
B-ORG,21,1
B-ORG,216,1
B-ORG,216juta,2
B-ORG,23,1
B-ORG,232,3
B-ORG,24,1
B-ORG,26,1
B-ORG,265,6
B-ORG,31,3
B-ORG,315,1
B-ORG,350,1
B-ORG,37,1
B-ORG,386,1
B-ORG,390,1
B-ORG,450,1
B-ORG,5,2
B-ORG,50,1
B-ORG,500,3
B-ORG,5003,1
B-ORG,53%,2
B-ORG,5302,1
B-ORG,55%baramulti,1
B-ORG,599,2
B-ORG,6001,1
B-ORG,61,1
B-ORG,64%,1
B-ORG,6400,1
B-ORG,66%,1
B-ORG,6652,1
B-ORG,7,1
B-ORG,70%,2
B-ORG,707miliar,1
B-ORG,72,2
B-ORG,73,2
B-ORG,730,1
B-ORG,7401,1
B-ORG,76,2
B-ORG,8,1
B-ORG,802miliar,1
B-ORG,81%,1
B-ORG,83%,1
B-ORG,87%,1
B-ORG,88%,1
B-ORG,89,1
B-ORG,900,7
B-ORG,9150,1
B-ORG,930,1
B-ORG,950,1
B-ORG,96,1
B-ORG,96%,1
B-ORG,97%,1
B-ORG,97x,1
B-ORG,99%,1
B-ORG,@cuap_,1
B-ORG,[pad],37
B-ORG,[pad][pad],7
B-ORG,[unk],1
B-ORG,a1,1
B-ORG,aa,7
B-ORG,aal,1
B-ORG,aalborgcsp,1
B-ORG,aasland,1
B-ORG,ab,2
B-ORG,abadi,1
B-ORG,abang,1
B-ORG,abc,6
B-ORG,abeka,1
B-ORG,abm,1
B-ORG,abmm,1
B-ORG,abudhabi,8
B-ORG,abudhabinationaloilcompany,3
B-ORG,acc,17
B-ORG,accionaenergia,2
B-ORG,aceh,3
B-ORG,acid,1
B-ORG,act,1
B-ORG,ad,4
B-ORG,ada,16
B-ORG,adamisa,1
B-ORG,adani,1
B-ORG,adanigroup,1
B-ORG,adaro,19
B-ORG,adaroenergy,2
B-ORG,adaroenergyindonesia,19
B-ORG,adaroenergyindonesiatbk,6
B-ORG,adaropower,17
B-ORG,adaropower&pjbi,1
B-ORG,adb,2
B-ORG,additional,1
B-ORG,adelaide,4
B-ORG,aden,1
B-ORG,adi,3
B-ORG,adip,1
B-ORG,adiperd,2
B-ORG,adiperdana,1
B-ORG,adiperdanam,1
B-ORG,adj,1
B-ORG,adkerson,3
B-ORG,admr,1
B-ORG,adnoc,3
B-ORG,adro,58
B-ORG,adro),1
B-ORG,adv,2
B-ORG,adventure2019with,1
B-ORG,adver,12
B-ORG,advertis,14
B-ORG,advertisement,6
B-ORG,advertisementsc,17
